taxon	sequenceID	species	species_and_gene_id	species_superorder	species_order	species_family	species_genus	gene_id	glycosylation_o1_35	glycosylation_o2_42	glycosylation_o3_59	glycosylation_o4_72	glycosylation_o4_74	glycosylation_o4_76	glycosylation_o5_103	glycosylation_o6_111	glycosylation_o6_115	glycosylation_o6_116
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_018063271	XM_018063271	Capra hircus	XM_018063271/Capra hircus	Laurasiatheria	Unclassified	Bovidae	Capra	Placental2_Cetartiodactyla-7	Capra hircus | -	Capra hircus | -	Capra hircus | -	Capra hircus | -	Capra hircus | -	Capra hircus | -	Capra hircus | -	Capra hircus | -	Capra hircus | -	Capra hircus | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_019014911	XM_019014911	Gorilla gorilla gorilla	XM_019014911/Gorilla gorilla gorilla	Euarchontoglires	Primates	Hominidae	Gorilla	Placental2_Haplorhine-1.1	Gorilla gorilla gorilla | -	Gorilla gorilla gorilla | -	Gorilla gorilla gorilla | -	Gorilla gorilla gorilla | -	Gorilla gorilla gorilla | -	Gorilla gorilla gorilla | -	Gorilla gorilla gorilla | -	Gorilla gorilla gorilla | -	Gorilla gorilla gorilla | -	Gorilla gorilla gorilla | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_020156959	XM_020156959	Castor canadensis	XM_020156959/Castor canadensis	Euarchontoglires	Rodentia	Castoridae	Castor	Placental2_Rodent-2.1	Castor canadensis | -	Castor canadensis | -	Castor canadensis | -	Castor canadensis | -	Castor canadensis | -	Castor canadensis | -	Castor canadensis | -	Castor canadensis | -	Castor canadensis | -	Castor canadensis | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_021168771	XM_021168771	Mus caroli	XM_021168771/Mus caroli	Euarchontoglires	Rodentia	Muridae	Mus	Placental2_Rodent-2.2	Mus caroli | -	Mus caroli | -	Mus caroli | -	Mus caroli | -	Mus caroli | -	Mus caroli | -	Mus caroli | -	Mus caroli | -	Mus caroli | -	Mus caroli | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_021210483	XM_021210483	Mus pahari	XM_021210483/Mus pahari	Euarchontoglires	Rodentia	Muridae	Mus	Placental1_Rodent-2.2	Mus pahari | -	Mus pahari | -	Mus pahari | -	Mus pahari | -	Mus pahari | -	Mus pahari | -	Mus pahari | -	Mus pahari | -	Mus pahari | -	Mus pahari | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_023651251	XM_023651251	Equus caballus	XM_023651251/Equus caballus	Laurasiatheria	Perissodactyla	Equidae	Equus	Placental2_Perissodactyl-8	Equus caballus | -	Equus caballus | -	Equus caballus | -	Equus caballus | -	Equus caballus | -	Equus caballus | -	Equus caballus | -	Equus caballus | -	Equus caballus | -	Equus caballus | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_023760578	XM_023760578	Myotis lucifugus	XM_023760578/Myotis lucifugus	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	Placental2_Chiroptera-6.1	Myotis lucifugus | -	Myotis lucifugus | -	Myotis lucifugus | -	Myotis lucifugus | -	Myotis lucifugus | -	Myotis lucifugus | -	Myotis lucifugus | -	Myotis lucifugus | -	Myotis lucifugus | -	Myotis lucifugus | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_024237432	XM_024237432	Pongo abelii	XM_024237432/Pongo abelii	Euarchontoglires	Primates	Hominidae	Pongo	Placental2_Haplorhine-1.1	Pongo abelii | -	Pongo abelii | -	Pongo abelii | -	Pongo abelii | -	Pongo abelii | -	Pongo abelii | -	Pongo abelii | -	Pongo abelii | -	Pongo abelii | -	Pongo abelii | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_024351462	XM_024351462	Pan troglodytes	XM_024351462/Pan troglodytes	Euarchontoglires	Primates	Hominidae	Pan	Placental2_Haplorhine-1.1	Pan troglodytes | -	Pan troglodytes | -	Pan troglodytes | -	Pan troglodytes | -	Pan troglodytes | -	Pan troglodytes | -	Pan troglodytes | -	Pan troglodytes | -	Pan troglodytes | -	Pan troglodytes | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_024577417	XM_024577417	Desmodus rotundus	XM_024577417/Desmodus rotundus	Laurasiatheria	Chiroptera	Phyllostomidae	Desmodus	Placental2_Chiroptera-6.1	Desmodus rotundus | -	Desmodus rotundus | -	Desmodus rotundus | -	Desmodus rotundus | -	Desmodus rotundus | -	Desmodus rotundus | -	Desmodus rotundus | -	Desmodus rotundus | -	Desmodus rotundus | -	Desmodus rotundus | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_024577418	XM_024577418	Desmodus rotundus	XM_024577418/Desmodus rotundus	Laurasiatheria	Chiroptera	Phyllostomidae	Desmodus	Placental2_Chiroptera-6.1	Desmodus rotundus | -	Desmodus rotundus | -	Desmodus rotundus | -	Desmodus rotundus | -	Desmodus rotundus | -	Desmodus rotundus | -	Desmodus rotundus | -	Desmodus rotundus | -	Desmodus rotundus | -	Desmodus rotundus | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_025268342	XM_025268342	Bubalus bubalis	XM_025268342/Bubalus bubalis	Laurasiatheria	Unclassified	Bovidae	Bubalus	Placental2_Cetartiodactyla-7	Bubalus bubalis | -	Bubalus bubalis | -	Bubalus bubalis | -	Bubalus bubalis | -	Bubalus bubalis | -	Bubalus bubalis | -	Bubalus bubalis | -	Bubalus bubalis | -	Bubalus bubalis | -	Bubalus bubalis | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_025367960	XM_025367960	Theropithecus gelada	XM_025367960/Theropithecus gelada	Euarchontoglires	Primates	Cercopithecidae	Theropithecus	Placental2_Haplorhine-1.1	Theropithecus gelada | -	Theropithecus gelada | -	Theropithecus gelada | -	Theropithecus gelada | -	Theropithecus gelada | -	Theropithecus gelada | -	Theropithecus gelada | -	Theropithecus gelada | -	Theropithecus gelada | -	Theropithecus gelada | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_025368308	XM_025368308	Theropithecus gelada	XM_025368308/Theropithecus gelada	Euarchontoglires	Primates	Cercopithecidae	Theropithecus	Placental2_Haplorhine-1.1	Theropithecus gelada | -	Theropithecus gelada | -	Theropithecus gelada | -	Theropithecus gelada | -	Theropithecus gelada | -	Theropithecus gelada | -	Theropithecus gelada | -	Theropithecus gelada | -	Theropithecus gelada | -	Theropithecus gelada | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_028859190	XM_028859190	Peromyscus leucopus	XM_028859190/Peromyscus leucopus	Euarchontoglires	Rodentia	Cricetidae	Peromyscus	Placental1_Rodent-2.2	Peromyscus leucopus | -	Peromyscus leucopus | -	Peromyscus leucopus | -	Peromyscus leucopus | -	Peromyscus leucopus | -	Peromyscus leucopus | -	Peromyscus leucopus | -	Peromyscus leucopus | -	Peromyscus leucopus | -	Peromyscus leucopus | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_029924289	XM_029924289	Suricata suricatta	XM_029924289/Suricata suricatta	Laurasiatheria	Carnivora	Herpestidae	Suricata	Placental2_Carnivore-10	Suricata suricatta | -	Suricata suricatta | -	Suricata suricatta | -	Suricata suricatta | -	Suricata suricatta | -	Suricata suricatta | -	Suricata suricatta | -	Suricata suricatta | -	Suricata suricatta | -	Suricata suricatta | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_030796492	XM_030796492	Nomascus leucogenys	XM_030796492/Nomascus leucogenys	Euarchontoglires	Primates	Hylobatidae	Nomascus	Placental2_Haplorhine-1.1	Nomascus leucogenys | -	Nomascus leucogenys | -	Nomascus leucogenys | -	Nomascus leucogenys | -	Nomascus leucogenys | -	Nomascus leucogenys | -	Nomascus leucogenys | -	Nomascus leucogenys | -	Nomascus leucogenys | -	Nomascus leucogenys | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_032326013	XM_032326013	Mustela erminea	XM_032326013/Mustela erminea	Laurasiatheria	Carnivora	Mustelidae	Mustela	Placental2_Carnivore-10	Mustela erminea | -	Mustela erminea | -	Mustela erminea | -	Mustela erminea | -	Mustela erminea | -	Mustela erminea | -	Mustela erminea | -	Mustela erminea | -	Mustela erminea | -	Mustela erminea | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_032850864	XM_032850864	Lontra canadensis	XM_032850864/Lontra canadensis	Laurasiatheria	Carnivora	Mustelidae	Lontra	Placental2_Carnivore-10	Lontra canadensis | -	Lontra canadensis | -	Lontra canadensis | -	Lontra canadensis | -	Lontra canadensis | -	Lontra canadensis | -	Lontra canadensis | -	Lontra canadensis | -	Lontra canadensis | -	Lontra canadensis | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_033226159	XM_033226159	Trachypithecus francoisi	XM_033226159/Trachypithecus francoisi	Euarchontoglires	Primates	Cercopithecidae	Trachypithecus	Placental2_Haplorhine-1.1	Trachypithecus francoisi | -	Trachypithecus francoisi | -	Trachypithecus francoisi | -	Trachypithecus francoisi | -	Trachypithecus francoisi | -	Trachypithecus francoisi | -	Trachypithecus francoisi | -	Trachypithecus francoisi | -	Trachypithecus francoisi | -	Trachypithecus francoisi | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_036323965	XM_036323965	Myotis myotis	XM_036323965/Myotis myotis	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	Placental2_Chiroptera-6.1	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_036324441	XM_036324441	Myotis myotis	XM_036324441/Myotis myotis	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	Placental2_Chiroptera-6.1	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_036345646	XM_036345646	Myotis myotis	XM_036345646/Myotis myotis	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	Placental2_Chiroptera-6.1	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_036346724	XM_036346724	Myotis myotis	XM_036346724/Myotis myotis	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	Placental2_Chiroptera-6.1	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_036346728	XM_036346728	Myotis myotis	XM_036346728/Myotis myotis	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	Placental2_Chiroptera-6.1	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_036346847	XM_036346847	Myotis myotis	XM_036346847/Myotis myotis	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	Placental2_Chiroptera-6.1	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_036346877	XM_036346877	Myotis myotis	XM_036346877/Myotis myotis	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	Placental2_Chiroptera-6.1	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -	Myotis myotis | -
