taxon	sequenceID	species	species_and_gene_id	species_superorder	species_order	species_family	species_genus	gene_id	glycosylation_o1	glycosylation_o2	glycosylation_o3	glycosylation_o4	glycosylation_o5	glycosylation_o6
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_023626728	XM_023626728	Equus caballus	XM_023626728/Equus caballus	Laurasiatheria	Perissodactyla	Equidae	Equus	Placental1_RTG-14	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_023651251	XM_023651251	Equus caballus	XM_023651251/Equus caballus	Laurasiatheria	Perissodactyla	Equidae	Equus	Placental2_Perissodactyl-8	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_023760578	XM_023760578	Myotis lucifugus	XM_023760578/Myotis lucifugus	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	Placental2_Chiroptera-6.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_024237432	XM_024237432	Pongo abelii	XM_024237432/Pongo abelii	Euarchontoglires	Primates	Hominidae	Pongo	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_024351462	XM_024351462	Pan troglodytes	XM_024351462/Pan troglodytes	Euarchontoglires	Primates	Hominidae	Pan	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_024577417	XM_024577417	Desmodus rotundus	XM_024577417/Desmodus rotundus	Laurasiatheria	Chiroptera	Phyllostomidae	Desmodus	Placental2_Chiroptera-6.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_024577418	XM_024577418	Desmodus rotundus	XM_024577418/Desmodus rotundus	Laurasiatheria	Chiroptera	Phyllostomidae	Desmodus	Placental2_Chiroptera-6.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_025268342	XM_025268342	Bubalus bubalis	XM_025268342/Bubalus bubalis	Laurasiatheria	Unclassified	Bovidae	Bubalus	Placental2_Cetartiodactyla-7	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_025367960	XM_025367960	Theropithecus gelada	XM_025367960/Theropithecus gelada	Euarchontoglires	Primates	Cercopithecidae	Theropithecus	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_025368308	XM_025368308	Theropithecus gelada	XM_025368308/Theropithecus gelada	Euarchontoglires	Primates	Cercopithecidae	Theropithecus	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_028165960	XM_028165960	Balaenoptera acutorostrata	XM_028165960/Balaenoptera acutorostrata	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera	Placental1_Cetartiodactyla-ND3	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_028529999	XM_028529999	Phyllostomus discolor	XM_028529999/Phyllostomus discolor	Laurasiatheria	Chiroptera	Phyllostomidae	Phyllostomus	Placental1_Chiroptera-6.2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_028530311	XM_028530311	Phyllostomus discolor	XM_028530311/Phyllostomus discolor	Laurasiatheria	Chiroptera	Phyllostomidae	Phyllostomus	Placental1_Chiroptera-6.2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_028859190	XM_028859190	Peromyscus leucopus	XM_028859190/Peromyscus leucopus	Euarchontoglires	Rodentia	Cricetidae	Peromyscus	Placental1_Rodent-2.2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_029924289	XM_029924289	Suricata suricatta	XM_029924289/Suricata suricatta	Laurasiatheria	Carnivora	Herpestidae	Suricata	Placental2_Carnivore-10	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_030796492	XM_030796492	Nomascus leucogenys	XM_030796492/Nomascus leucogenys	Euarchontoglires	Primates	Hylobatidae	Nomascus	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_032273584	XM_032273584	Sapajus apella	XM_032273584/Sapajus apella	Euarchontoglires	Primates	Cebidae	Sapajus	Placental2_Haplorhine-1.2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_032326013	XM_032326013	Mustela erminea	XM_032326013/Mustela erminea	Laurasiatheria	Carnivora	Mustelidae	Mustela	Placental2_Carnivore-10	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_032850864	XM_032850864	Lontra canadensis	XM_032850864/Lontra canadensis	Laurasiatheria	Carnivora	Mustelidae	Lontra	Placental2_Carnivore-10	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_033226159	XM_033226159	Trachypithecus francoisi	XM_033226159/Trachypithecus francoisi	Euarchontoglires	Primates	Cercopithecidae	Trachypithecus	Placental2_Haplorhine-1.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_036323965	XM_036323965	Myotis myotis	XM_036323965/Myotis myotis	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	Placental2_Chiroptera-6.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_036324441	XM_036324441	Myotis myotis	XM_036324441/Myotis myotis	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	Placental2_Chiroptera-6.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_036345646	XM_036345646	Myotis myotis	XM_036345646/Myotis myotis	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	Placental2_Chiroptera-6.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_036346724	XM_036346724	Myotis myotis	XM_036346724/Myotis myotis	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	Placental2_Chiroptera-6.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_036346728	XM_036346728	Myotis myotis	XM_036346728/Myotis myotis	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	Placental2_Chiroptera-6.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_036346847	XM_036346847	Myotis myotis	XM_036346847/Myotis myotis	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	Placental2_Chiroptera-6.1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_036346877	XM_036346877	Myotis myotis	XM_036346877/Myotis myotis	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	Placental2_Chiroptera-6.1	-	-	-	-	-	-
